CicloLectivoDesCorta,IdAlumno,Anio
2023-2,100004235,2023
2023-2,100004239,2023
2023-2,100007911,2023
2023-2,100009753,2023
2023-2,100010081,2023
2023-2,100010186,2023
2023-2,100010212,2023
2023-2,100010396,2023
2023-2,100011191,2023
2023-2,100011253,2023
2023-2,100011542,2023
2023-2,100011563,2023
2023-2,100011634,2023
2023-2,100012481,2023
2023-2,100012563,2023
2023-2,100012794,2023
2023-2,100012878,2023
2023-2,100013014,2023
2023-2,100013141,2023
2023-2,100013267,2023
2023-2,100014106,2023
2023-2,100014115,2023
2023-2,100014331,2023
2023-2,100014462,2023
2023-2,100014670,2023
2023-2,100014672,2023
2023-2,100014699,2023
2023-2,100015184,2023
2023-2,100015344,2023
2023-2,100015416,2023
2023-2,100015457,2023
2023-2,100015608,2023
2023-2,100015954,2023
2023-2,100016323,2023
2023-2,100016426,2023
2023-2,100017037,2023
2023-2,100017399,2023
2023-2,100017706,2023
2023-2,100017710,2023
2023-2,100017760,2023
2023-2,100017886,2023
2023-2,100017897,2023
2023-2,100018623,2023
2023-2,100019238,2023
2023-2,100019601,2023
2023-2,100019704,2023
2023-2,100019709,2023
2023-2,100019786,2023
2023-2,100020187,2023
2023-2,100020254,2023
2023-2,100020372,2023
2023-2,100020814,2023
2023-2,100020950,2023
2023-2,100021091,2023
2023-2,100021145,2023
2023-2,100021732,2023
2023-2,100021739,2023
2023-2,100021786,2023
2023-2,100021887,2023
2023-2,100022272,2023
2023-2,100022302,2023
2023-2,100022413,2023
2023-2,100022525,2023
2023-2,100022817,2023
2023-2,100022961,2023
2023-2,100022980,2023
2023-2,100023246,2023
2023-2,100023349,2023
2023-2,100023499,2023
2023-2,100023641,2023
2023-2,100023834,2023
2023-2,100024052,2023
2023-2,100024123,2023
2023-2,100024145,2023
2023-2,100024178,2023
2023-2,100024539,2023
2023-2,100024725,2023
2023-2,100025426,2023
2023-2,100025458,2023
2023-2,100025749,2023
2023-2,100025967,2023
2023-2,100026252,2023
2023-2,100026342,2023
2023-2,100026830,2023
2023-2,100026914,2023
2023-2,100026970,2023
2023-2,100026975,2023
2023-2,100026996,2023
2023-2,100027053,2023
2023-2,100027083,2023
2023-2,100027140,2023
2023-2,100027277,2023
2023-2,100027442,2023
2023-2,100027486,2023
2023-2,100027509,2023
2023-2,100027594,2023
2023-2,100027633,2023
2023-2,100027669,2023
2023-2,100027678,2023
2023-2,100027750,2023
2023-2,100027756,2023
2023-2,100027929,2023
2023-2,100027998,2023
2023-2,100028040,2023
2023-2,100028294,2023
2023-2,100028295,2023
2023-2,100028326,2023
2023-2,100028414,2023
2023-2,100028473,2023
2023-2,100028476,2023
2023-2,100028515,2023
2023-2,100028667,2023
2023-2,100028698,2023
2023-2,100028753,2023
2023-2,100028809,2023
2023-2,100028810,2023
2023-2,100028983,2023
2023-2,100029102,2023
2023-2,100029135,2023
2023-2,100029232,2023
2023-2,100029233,2023
2023-2,100029240,2023
2023-2,100029370,2023
2023-2,100029377,2023
2023-2,100029452,2023
2023-2,100029510,2023
2023-2,100029579,2023
2023-2,100029587,2023
2023-2,100029593,2023
2023-2,100029615,2023
2023-2,100029683,2023
2023-2,100029688,2023
2023-2,100029740,2023
2023-2,100029759,2023
2023-2,100029841,2023
2023-2,100029949,2023
2023-2,100030124,2023
2023-2,100030131,2023
2023-2,100030145,2023
2023-2,100030176,2023
2023-2,100030297,2023
2023-2,100030345,2023
2023-2,100030405,2023
2023-2,100030533,2023
2023-2,100030619,2023
2023-2,100030682,2023
2023-2,100030745,2023
2023-2,100030775,2023
2023-2,100030803,2023
2023-2,100030869,2023
2023-2,100031110,2023
2023-2,100031112,2023
2023-2,100031132,2023
2023-2,100031133,2023
2023-2,100031135,2023
2023-2,100031200,2023
2023-2,100031213,2023
2023-2,100031235,2023
2023-2,100031362,2023
2023-2,100031401,2023
2023-2,100031503,2023
2023-2,100031525,2023
2023-2,100031637,2023
2023-2,100031652,2023
2023-2,100031680,2023
2023-2,100031702,2023
2023-2,100031771,2023
2023-2,100031823,2023
2023-2,100031855,2023
2023-2,100031869,2023
2023-2,100031949,2023
2023-2,100031969,2023
2023-2,100032008,2023
2023-2,100032057,2023
2023-2,100032143,2023
2023-2,100032154,2023
2023-2,100032182,2023
2023-2,100032291,2023
2023-2,100032323,2023
2023-2,100032338,2023
2023-2,100032389,2023
2023-2,100032419,2023
2023-2,100032422,2023
2023-2,100032424,2023
2023-2,100032429,2023
2023-2,100032466,2023
2023-2,100032477,2023
2023-2,100032506,2023
2023-2,100032531,2023
2023-2,100032543,2023
2023-2,100032688,2023
2023-2,100032703,2023
2023-2,100032711,2023
2023-2,100032759,2023
2023-2,100032783,2023
2023-2,100032787,2023
2023-2,100032790,2023
2023-2,100032843,2023
2023-2,100032870,2023
2023-2,100032907,2023
2023-2,100032912,2023
2023-2,100033067,2023
2023-2,100033079,2023
2023-2,100033353,2023
2023-2,100033438,2023
2023-2,100033447,2023
2023-2,100033466,2023
2023-2,100033478,2023
2023-2,100033486,2023
2023-2,100033531,2023
2023-2,100033567,2023
2023-2,100033624,2023
2023-2,100033648,2023
2023-2,100033689,2023
2023-2,100033704,2023
2023-2,100033805,2023
2023-2,100033835,2023
2023-2,100033906,2023
2023-2,100034007,2023
2023-2,100034023,2023
2023-2,100034147,2023
2023-2,100034149,2023
2023-2,100034183,2023
2023-2,100034187,2023
2023-2,100034438,2023
2023-2,100034529,2023
2023-2,100034816,2023
2023-2,100034818,2023
2023-2,100034848,2023
2023-2,100034849,2023
2023-2,100034852,2023
2023-2,100034875,2023
2023-2,100034925,2023
2023-2,100034982,2023
2023-2,100035027,2023
2023-2,100035033,2023
2023-2,100035114,2023
2023-2,100035140,2023
2023-2,100035154,2023
2023-2,100035184,2023
2023-2,100035286,2023
2023-2,100035343,2023
2023-2,100035412,2023
2023-2,100035456,2023
2023-2,100035470,2023
2023-2,100035476,2023
2023-2,100035479,2023
2023-2,100035480,2023
2023-2,100035491,2023
2023-2,100035515,2023
2023-2,100035607,2023
2023-2,100035611,2023
2023-2,100035643,2023
2023-2,100035813,2023
2023-2,100035937,2023
2023-2,100035944,2023
2023-2,100036119,2023
2023-2,100036167,2023
2023-2,100036175,2023
2023-2,100036192,2023
