CicloLectivoDesCorta,IdAlumno,Anio
2022-2,100002894,2022
2022-2,100003498,2022
2022-2,100003502,2022
2022-2,100003558,2022
2022-2,100003932,2022
2022-2,100003946,2022
2022-2,100004011,2022
2022-2,100004019,2022
2022-2,100004062,2022
2022-2,100004226,2022
2022-2,100004228,2022
2022-2,100004234,2022
2022-2,100004235,2022
2022-2,100004239,2022
2022-2,100004388,2022
2022-2,100004466,2022
2022-2,100004634,2022
2022-2,100004800,2022
2022-2,100005166,2022
2022-2,100005182,2022
2022-2,100005558,2022
2022-2,100005605,2022
2022-2,100006137,2022
2022-2,100006256,2022
2022-2,100006468,2022
2022-2,100006719,2022
2022-2,100006943,2022
2022-2,100006967,2022
2022-2,100007381,2022
2022-2,100007718,2022
2022-2,100007741,2022
2022-2,100007911,2022
2022-2,100007953,2022
2022-2,100008120,2022
2022-2,100010078,2022
2022-2,100010081,2022
2022-2,100010086,2022
2022-2,100010186,2022
2022-2,100010212,2022
2022-2,100010293,2022
2022-2,100010335,2022
2022-2,100010396,2022
2022-2,100010402,2022
2022-2,100010713,2022
2022-2,100010899,2022
2022-2,100010977,2022
2022-2,100011253,2022
2022-2,100011298,2022
2022-2,100011634,2022
2022-2,100011758,2022
2022-2,100011951,2022
2022-2,100012088,2022
2022-2,100012169,2022
2022-2,100012209,2022
2022-2,100012219,2022
2022-2,100012223,2022
2022-2,100012232,2022
2022-2,100012268,2022
2022-2,100012388,2022
2022-2,100012481,2022
2022-2,100012507,2022
2022-2,100012586,2022
2022-2,100012660,2022
2022-2,100012680,2022
2022-2,100012691,2022
2022-2,100012717,2022
2022-2,100012786,2022
2022-2,100012794,2022
2022-2,100012869,2022
2022-2,100013014,2022
2022-2,100013113,2022
2022-2,100013141,2022
2022-2,100013204,2022
2022-2,100013267,2022
2022-2,100013526,2022
2022-2,100013775,2022
2022-2,100014074,2022
2022-2,100014094,2022
2022-2,100014135,2022
2022-2,100014152,2022
2022-2,100014201,2022
2022-2,100014281,2022
2022-2,100014293,2022
2022-2,100014296,2022
2022-2,100014331,2022
2022-2,100014522,2022
2022-2,100014599,2022
2022-2,100014658,2022
2022-2,100014672,2022
2022-2,100014674,2022
2022-2,100014698,2022
2022-2,100014699,2022
2022-2,100014728,2022
2022-2,100014775,2022
2022-2,100014821,2022
2022-2,100014826,2022
2022-2,100015077,2022
2022-2,100015184,2022
2022-2,100015217,2022
2022-2,100015254,2022
2022-2,100015274,2022
2022-2,100015293,2022
2022-2,100015294,2022
2022-2,100015340,2022
2022-2,100015367,2022
2022-2,100015389,2022
2022-2,100015415,2022
2022-2,100015457,2022
2022-2,100015500,2022
2022-2,100015528,2022
2022-2,100015608,2022
2022-2,100015798,2022
2022-2,100015954,2022
2022-2,100015963,2022
2022-2,100016025,2022
2022-2,100016056,2022
2022-2,100016083,2022
2022-2,100016090,2022
2022-2,100016246,2022
2022-2,100016280,2022
2022-2,100016285,2022
2022-2,100016323,2022
2022-2,100016502,2022
2022-2,100016545,2022
2022-2,100016644,2022
2022-2,100016716,2022
2022-2,100016796,2022
2022-2,100016801,2022
2022-2,100017020,2022
2022-2,100017037,2022
2022-2,100017038,2022
2022-2,100017072,2022
2022-2,100017267,2022
2022-2,100017285,2022
2022-2,100017319,2022
2022-2,100017324,2022
2022-2,100017390,2022
2022-2,100017392,2022
2022-2,100017393,2022
2022-2,100017439,2022
2022-2,100017567,2022
2022-2,100017578,2022
2022-2,100017618,2022
