IdAlumno,Genero,FechaNacimiento,Distrito,Provincia,Departamento,FamiliarResponsable,AnioNacimiento
100161667,F,2007-02-03,CONCHUCOS,PALLASCA,ÁNCASH,Madre,2007
100161668,M,2007-01-08,VILLA EL SALVADOR,LIMA ,LIMA,Padre,2007
100161670,F,2004-06-01,HUARMEY,HUARMEY,ÁNCASH,,2004
100161672,M,2006-02-15,CANGALLO,CANGALLO,AYACUCHO,Madre,2006
100161673,F,2006-06-29,PANGOA,SATIPO ,JUNÍN,Madre,2006
100161675,F,2007-04-02,VILLA EL SALVADOR,LIMA ,LIMA,Madre,2007
100161676,F,2005-05-22,CHAO,VIRÚ ,LA LIBERTAD,,2005
100161677,F,2006-09-16,SAN MIGUEL,LIMA ,LIMA,Madre,2006
100161679,F,2007-01-12,MANANTAY,CORONEL PORTILLO ,UCAYALI,Padre,2007
100161680,F,2006-07-25,CHORRILLOS,LIMA ,LIMA,Madre,2006
100161681,M,2003-02-21,PACCHA,CHOTA,CAJAMARCA,,2003
100161682,F,2007-04-08,PUENTE PIEDRA,LIMA ,LIMA,Madre,2007
100161683,F,2005-07-27,COASA,CARABAYA ,PUNO,,2005
100161685,F,2004-05-12,HUARAL,HUARAL ,LIMA,,2004
100161686,M,2005-03-04,HUANCARANI,PAUCARTAMBO,CUSCO,,2005
100161687,M,2006-09-27,LOS OLIVOS,LIMA ,LIMA,Madre,2006
100161688,M,2004-02-09,SICAYA,HUANCAYO ,JUNÍN,,2004
100161689,M,2005-01-28,SAN MARTÍN DE PORRES,LIMA ,LIMA,,2005
100161690,M,2005-12-22,AYACUCHO,HUAMANGA,AYACUCHO,,2005
100161692,M,2005-05-06,PATIVILCA,BARRANCA ,LIMA,,2005
100161695,F,2006-07-25,LA BANDA DE SHILCAYO,SAN MARTÍN ,SAN MARTÍN,Apoderado,2006
100161696,M,2007-03-10,COMAS,LIMA ,LIMA,Madre,2007
100161697,F,2006-06-29,SANTIAGO DE TUNA,HUAROCHIRÍ ,LIMA,Padre,2006
100161699,F,2004-08-20,PUENTE PIEDRA,LIMA ,LIMA,,2004
100161700,M,2007-03-01,LURIN,LIMA ,LIMA,Padre,2007
100161701,F,2005-07-12,JESÚS NAZARENO,HUAMANGA,AYACUCHO,,2005
100161702,F,2001-02-18,MIRAFLORES,LIMA ,LIMA,,2001
100161705,M,2004-01-10,CONSTITUCIÓN,OXAPAMPA ,PASCO,,2004
100161707,M,2007-01-11,SAN BORJA,LIMA ,LIMA,Madre,2007
100161708,F,2006-06-01,ACOCRO,HUAMANGA,AYACUCHO,Apoderado,2006
100161709,F,2006-11-24,PACHANGARA,OYÓN ,LIMA,Madre,2006
100161710,F,2006-09-26,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Madre,2006
100161711,M,2004-04-17,TARAPOTO,SAN MARTÍN ,SAN MARTÍN,,2004
100161713,M,2002-07-09,VILLA EL SALVADOR,LIMA ,LIMA,,2002
100161715,F,2007-03-12,CHORRILLOS,LIMA ,LIMA,Madre,2007
100161716,M,2004-08-14,BELLAVISTA,PROV. CONST. DEL CALLAO,CALLAO,,2004
100161719,F,2007-03-05,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Madre,2007
100161720,M,2006-08-11,SANTO DOMINGO DE ACOBAMBA,HUANCAYO ,JUNÍN,Padre,2006
100161721,F,2006-12-09,ALONSO DE ALVARADO,LAMAS ,SAN MARTÍN,Madre,2006
100161722,F,2004-01-28,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,,2004
100161723,M,2007-05-31,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,Madre,2007
100161724,F,2006-09-13,CHANCAY,HUARAL ,LIMA,Madre,2006
100161725,F,2006-10-09,SANTO DOMINGO DE ACOBAMBA,HUANCAYO ,JUNÍN,Apoderado,2006
100161727,F,2006-04-27,LA ARENA,PIURA ,PIURA,Padre,2006
100161728,F,2006-11-20,VILLA EL SALVADOR,LIMA ,LIMA,Madre,2006
100161730,M,2003-09-15,SAN MARTÍN DE PORRES,LIMA ,LIMA,,2003
100161731,F,2002-05-12,ATE,LIMA ,LIMA,,2002
100161732,M,2006-11-21,CARABAYLLO,LIMA ,LIMA,Madre,2006
100161733,F,2007-01-11,MIGUEL CHECA,SULLANA ,PIURA,Madre,2007
100161735,F,2003-10-01,HUACAÑA,SUCRE,AYACUCHO,,2003
100161736,F,2005-03-11,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,,2005
100161737,M,2006-07-26,PUERTO BERMÚDEZ,OXAPAMPA ,PASCO,Madre,2006
100161742,F,2006-10-03,POLVORA,TOCACHE ,SAN MARTÍN,Madre,2006
100161743,M,2005-09-23,CARABAYLLO,LIMA ,LIMA,,2005
100161744,M,2007-04-29,SAN LUIS,CARLOS FERMÍN FITZCARRALD,ÁNCASH,Apoderado,2007
100161745,F,2006-10-05,AYACUCHO,HUAMANGA,AYACUCHO,Madre,2006
100161746,F,2007-03-10,CHILCA,HUANCAYO ,JUNÍN,Padre,2007
100161747,F,2007-03-03,LURIN,LIMA ,LIMA,Apoderado,2007
100161748,M,2006-07-21,CHONTALI,JAÉN,CAJAMARCA,Apoderado,2006
