IdAlumno,Prediccion,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100138013,1,18.0,F,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Apoderado,12,12,SI,NO,MenosDe18,1.0,PRIV,1
100138014,0,18.0,F,COMAS,LIMA ,LIMA,Madre,9,6,SI,NO,MenosDe18,0.0,PRIV,0
100138018,0,21.0,F,PUCUSANA,LIMA ,LIMA,Alumno,3,3,SI,NO,Entre18y25,1.0,PRIV,0
100138019,0,17.0,F,ATE,LIMA ,LIMA,Madre,9,0,SI,NO,MenosDe18,0.0,PRIV,0
100138037,1,18.0,F,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Padre,12,15,SI,NO,MenosDe18,0.0,PRIV,1
100138040,0,17.0,M,INDEPENDENCIA,LIMA ,LIMA,Madre,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100138042,0,18.0,F,CHORRILLOS,LIMA ,LIMA,Apoderado,0,3,NO,NO,MenosDe18,0.0,PRIV,0
100138043,0,20.0,M,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,3,3,NO,NO,Entre18y25,0.0,PRIV,0
100138051,0,34.0,F,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,0,0,NO,NO,Mayor25,0.0,PRIV,0
100138056,0,18.0,F,LURIN,LIMA ,LIMA,Madre,3,3,SI,NO,MenosDe18,0.0,PRIV,1
100138059,1,18.0,M,COMAS,LIMA ,LIMA,Apoderado,12,18,SI,SI,MenosDe18,0.0,PRIV,0
100138063,0,18.0,F,CHORRILLOS,LIMA ,LIMA,Madre,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100138087,1,18.0,M,CARAZ,HUAYLAS,ÁNCASH,Apoderado,9,9,SI,NO,MenosDe18,0.0,PRIV,1
100138100,0,18.0,M,SANTA ANITA,LIMA ,LIMA,Apoderado,6,3,NO,NO,MenosDe18,0.0,PRIV,0
100138135,0,28.0,F,COMAS,LIMA ,LIMA,Alumno,0,0,NO,NO,Mayor25,0.0,PRIV,0
100138138,0,27.0,M,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,6,3,SI,NO,Mayor25,0.0,PRIV,0
100138142,0,18.0,M,LIMA,LIMA ,LIMA,Apoderado,2,0,NO,NO,MenosDe18,0.0,PRIV,0
100138143,0,20.0,F,LOS OLIVOS,LIMA ,LIMA,Alumno,6,3,SI,NO,Entre18y25,0.0,PRIV,0
100138147,0,18.0,F,MIRAFLORES,LIMA ,LIMA,Padre,6,3,NO,NO,MenosDe18,0.0,PRIV,0
100138151,0,18.0,F,CHORRILLOS,LIMA ,LIMA,Madre,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100138153,1,18.0,M,COMAS,LIMA ,LIMA,Madre,6,12,SI,SI,MenosDe18,0.0,PUBL,1
100138154,0,19.0,M,VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO,Alumno,6,0,SI,NO,Entre18y25,0.0,PRIV,0
100138155,1,23.0,F,PUENTE PIEDRA,LIMA ,LIMA,Alumno,9,9,SI,NO,Entre18y25,0.0,PRIV,1
100138156,0,23.0,M,LOS OLIVOS,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PRIV,0
100138158,0,18.0,F,SAN MARTÍN DE PORRES,LIMA ,LIMA,Apoderado,9,6,SI,NO,MenosDe18,0.0,PRIV,1
100138172,0,16.0,F,LURIGANCHO,LIMA ,LIMA,Madre,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100138185,1,32.0,M,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,18,18,SI,SI,Mayor25,0.0,PRIV,1
100138191,0,18.0,F,VENTANILLA,PROV. CONST. DEL CALLAO,CALLAO,Apoderado,6,6,SI,NO,MenosDe18,0.0,PRIV,0
100138222,0,18.0,M,BREÑA,LIMA ,LIMA,Padre,6,0,NO,NO,MenosDe18,0.0,PUBL,0
100138225,1,18.0,M,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Madre,6,6,SI,NO,MenosDe18,0.0,PUBL,0
100138227,0,22.0,M,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Alumno,0,0,NO,NO,Entre18y25,0.0,PRIV,0
100138228,0,17.0,M,SANTIAGO DE SURCO,LIMA ,LIMA,Madre,2,0,NO,NO,MenosDe18,0.0,PRIV,0
100138257,0,17.0,F,COMAS,LIMA ,LIMA,Madre,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100138268,0,18.0,M,RÍMAC,LIMA ,LIMA,Padre,2,0,NO,NO,MenosDe18,0.0,PRIV,1
100138270,1,17.0,F,PACHACAMAC,LIMA ,LIMA,Madre,9,21,SI,NO,MenosDe18,1.0,PRIV,1
100138272,1,17.0,M,EL AGUSTINO,LIMA ,LIMA,Padre,12,18,SI,NO,MenosDe18,0.0,PRIV,1
100138274,0,17.0,F,ATE,LIMA ,LIMA,Padre,3,0,NO,NO,MenosDe18,0.0,PRIV,0
100138278,1,22.0,F,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,9,9,SI,NO,Entre18y25,0.0,PRIV,0
100138282,1,24.0,F,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,18,18,SI,SI,Entre18y25,0.0,PRIV,1
100138283,1,18.0,F,INDEPENDENCIA,PISCO ,ICA,Apoderado,6,6,SI,NO,MenosDe18,0.0,PRIV,1
100138284,1,22.0,M,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Alumno,12,6,SI,NO,Entre18y25,0.0,PUBL,1
100138287,0,21.0,F,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PRIV,0
100138289,0,17.0,F,COMAS,LIMA ,LIMA,Madre,3,0,SI,NO,MenosDe18,0.0,PRIV,0
100138320,1,27.0,F,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,18,18,SI,SI,Mayor25,0.0,PRIV,1
100138332,1,18.0,M,HUARAL,HUARAL ,LIMA,Apoderado,18,18,SI,SI,MenosDe18,0.0,PUBL,1
100138350,0,19.0,F,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Alumno,3,0,SI,NO,Entre18y25,0.0,PRIV,0
100138353,0,19.0,F,ATE,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PUBL,0
100138362,0,18.0,M,SAN JUAN DE MIRAFLORES,LIMA ,LIMA,Padre,0,2,SI,NO,MenosDe18,0.0,PUBL,1
100138377,0,19.0,F,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Alumno,6,0,SI,NO,Entre18y25,0.0,PUBL,0
100138395,0,36.0,F,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Alumno,0,0,NO,NO,Mayor25,0.0,PUBL,1
100138396,0,19.0,F,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PUBL,0
100138399,0,18.0,M,SURQUILLO,LIMA ,LIMA,Madre,6,6,NO,NO,MenosDe18,0.0,PRIV,0
100138401,1,17.0,F,COMAS,LIMA ,LIMA,Madre,15,15,SI,SI,MenosDe18,0.0,PUBL,1
100138405,0,17.0,M,LIMA,LIMA ,LIMA,Madre,0,0,NO,NO,MenosDe18,0.0,PRIV,0
100138408,0,31.0,F,LOS OLIVOS,LIMA ,LIMA,Alumno,3,3,NO,NO,Mayor25,0.0,PRIV,0
100138409,0,18.0,M,ATE,LIMA ,LIMA,Apoderado,9,3,SI,NO,MenosDe18,0.0,PRIV,0
100138412,0,17.0,M,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Madre,3,3,SI,NO,MenosDe18,0.0,PRIV,0
100138414,0,17.0,F,LURIN,LIMA ,LIMA,Madre,6,3,NO,NO,MenosDe18,0.0,PRIV,0
100138415,0,20.0,F,SAN BARTOLO,LIMA ,LIMA,Alumno,9,3,SI,NO,Entre18y25,0.0,PRIV,1
100138417,0,22.0,M,ATE,LIMA ,LIMA,Alumno,3,3,NO,NO,Entre18y25,0.0,PRIV,0
100138431,1,30.0,F,CHORRILLOS,LIMA ,LIMA,Alumno,18,18,SI,SI,Mayor25,0.0,PRIV,1
100138439,1,18.0,M,INDEPENDENCIA,LIMA ,LIMA,Apoderado,12,18,SI,NO,MenosDe18,0.0,PUBL,1
100138445,1,17.0,M,CHORRILLOS,LIMA ,LIMA,Padre,9,12,SI,NO,MenosDe18,0.0,PRIV,1
100138446,0,19.0,F,COMAS,LIMA ,LIMA,Alumno,4,0,NO,NO,Entre18y25,0.0,PUBL,0
100138452,0,19.0,F,EL AGUSTINO,LIMA ,LIMA,Alumno,3,0,NO,NO,Entre18y25,0.0,PRIV,0
100138454,0,42.0,M,ANCÓN,LIMA ,LIMA,Alumno,12,3,SI,NO,Mayor25,0.0,PUBL,1
100138460,0,19.0,F,SAN JUAN DE LURIGANCHO,LIMA ,LIMA,Alumno,3,3,SI,NO,Entre18y25,0.0,PRIV,0
100138463,0,18.0,F,ATE,LIMA ,LIMA,Apoderado,3,3,NO,NO,MenosDe18,0.0,PRIV,0
100138472,0,17.0,M,VILLA MARÍA DEL TRIUNFO,LIMA ,LIMA,Madre,4,0,NO,NO,MenosDe18,0.0,PRIV,1
