,IdAlumno,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,CantCursosDesaprobados,CantCursos,ExcedeMitadCursosDesaprobados,ProgramaAlu
2974,100068186,0,0,NO,0,7,NO,Nutrición y Dietética
2975,100068195,1,1,NO,0,5,NO,Arquitectura y Urb Ambiental
2976,100068210,1,1,NO,1,5,NO,Medic Veterinaria y Zootecnia
2977,100068218,1,0,NO,0,4,NO,Enfermería
2978,100068219,2,1,NO,1,2,SI,Medic Veterinaria y Zootecnia
2979,100068229,2,1,NO,0,5,NO,Medicina Humana
2980,100068231,1,1,NO,1,2,SI,Medicina Humana
2981,100068234,1,1,NO,0,7,NO,Marketing y Administración
2982,100068245,3,3,SI,3,4,SI,Medicina Humana
2983,100068254,0,1,NO,0,7,NO,Ingeniería Ambiental
2984,100068256,0,1,NO,0,5,NO,Medicina Humana
2985,100068265,0,0,NO,0,4,NO,Estomatología
2986,100068287,0,0,NO,0,6,NO,Ing. de Sistemas Empresariales
2987,100068290,2,1,NO,1,3,NO,Medic Veterinaria y Zootecnia
2988,100068294,0,0,NO,0,6,NO,Artes Escénicas
2989,100068295,0,1,NO,0,7,NO,Ingeniería Ambiental
2990,100068310,3,3,NO,0,4,NO,Medicina Humana
2991,100068313,1,0,NO,0,5,NO,Obstetricia
2992,100068317,2,0,NO,1,5,NO,Medicina Humana
2993,100068320,1,1,NO,1,4,NO,Derecho
2994,100068338,1,0,NO,0,3,NO,Medicina Humana
2995,100068354,2,3,NO,0,6,NO,Biología Marina
2996,100068359,3,2,NO,0,4,NO,Medicina Humana
2997,100068364,0,0,NO,0,7,NO,Psicología
2998,100068383,0,0,NO,0,2,NO,Medicina Humana
2999,100068408,2,1,NO,2,4,SI,Ingeniería Ambiental
3000,100068422,1,0,NO,0,4,NO,Medicina Humana
3001,100068426,0,1,NO,1,5,NO,Psicología
3002,100068468,1,1,NO,0,4,NO,Psicología
3003,100068470,3,2,NO,1,3,NO,Medicina Humana
3004,100068475,0,0,NO,0,3,NO,Enfermería
3005,100068476,4,4,NO,1,5,NO,Medic Veterinaria y Zootecnia
3006,100068481,1,0,NO,0,4,NO,Medicina Humana
3007,100068482,0,1,NO,0,7,NO,Obstetricia
3008,100068499,1,2,NO,1,3,NO,Farmacia y Bioquímica
3009,100068500,1,2,NO,0,5,NO,Biología Marina
3010,100068507,1,1,NO,0,2,NO,Medicina Humana
3011,100068515,4,3,NO,1,5,NO,Medic Veterinaria y Zootecnia
3012,100068516,3,2,NO,1,5,NO,Medicina Humana
3013,100068522,0,1,NO,0,7,NO,Ing. de Sistemas Empresariales
3014,100068528,1,2,NO,0,4,NO,Medicina Humana
3015,100068536,1,1,NO,0,2,NO,Medicina Humana
3016,100068537,1,1,NO,0,3,NO,Medicina Humana
3017,100068560,0,0,NO,0,2,NO,Medicina Humana
3018,100068563,4,2,SI,1,4,NO,Medicina Humana
3019,100068579,2,2,NO,0,7,NO,Biología Marina
3020,100068585,0,0,NO,0,6,NO,Estomatología
3021,100068587,3,3,NO,1,3,NO,Medicina Humana
3022,100068588,0,0,NO,0,3,NO,Administracion de Empresas
3023,100068602,2,0,NO,0,6,NO,Nutrición y Dietética
3024,100068615,1,1,NO,0,4,NO,Arquitectura y Urb Ambiental
3025,100068620,1,0,NO,0,4,NO,Derecho
3026,100068624,3,1,NO,0,3,NO,Medicina Humana
3027,100068645,0,1,NO,0,6,NO,Comunicación y Publicidad
3028,100068649,0,0,NO,0,4,NO,Psicología
3029,100068661,0,0,NO,0,5,NO,Marketing y Administración
3030,100068666,2,2,SI,2,2,SI,Medicina Humana
3031,100068667,1,2,NO,0,7,NO,Psicología
3032,100068671,0,0,NO,0,5,NO,Artes Escénicas
3033,100068679,2,2,NO,0,3,NO,Farmacia y Bioquímica
3034,100068686,1,3,NO,0,5,NO,Psicología
3035,100068693,0,0,NO,0,6,NO,Estomatología
3036,100068759,0,1,NO,0,7,NO,Administracion de Empresas
3037,100068766,1,1,NO,0,7,NO,Obstetricia
3038,100068772,3,2,NO,0,5,NO,Medicina Humana
3039,100068773,0,2,SI,0,6,NO,Farmacia y Bioquímica
3040,100068774,1,0,NO,0,5,NO,Medicina Humana
3041,100068799,0,2,NO,0,7,NO,Medic Veterinaria y Zootecnia
3042,100068804,2,2,NO,0,7,NO,Medic Veterinaria y Zootecnia
3043,100068805,0,1,NO,0,3,NO,Medic Veterinaria y Zootecnia
3044,100068809,1,0,NO,0,6,NO,Ingeniería Agroforestal
3045,100068816,4,2,NO,0,6,NO,Adm. Negocios Internacionales
3046,100068829,0,0,NO,0,7,NO,Nutrición y Dietética
3047,100068840,2,1,NO,0,7,NO,Nutrición y Dietética
3048,100068874,2,2,NO,0,5,NO,Medicina Humana
3049,100068888,2,0,NO,0,6,NO,Medicina Humana
3050,100068893,0,0,NO,0,5,NO,Medicina Humana
3051,100068898,3,1,NO,1,4,NO,Medicina Humana
3052,100068899,0,0,NO,0,4,NO,Medicina Humana
3053,100068900,1,2,NO,0,6,NO,Farmacia y Bioquímica
3054,100068930,0,2,NO,0,2,NO,Medicina Humana
3055,100068932,1,0,NO,0,6,NO,Derecho
3056,100068937,0,0,NO,0,7,NO,Adm. Negocios Internacionales
3057,100068940,2,1,NO,0,6,NO,Adm. Negocios Internacionales
3058,100068955,1,0,NO,0,5,NO,Medicina Humana
3059,100068965,1,0,NO,0,4,NO,Medicina Humana
3060,100068968,4,2,NO,2,5,NO,Medicina Humana
3061,100068975,0,0,NO,0,7,NO,Nutrición y Dietética
3062,100068979,1,0,NO,0,7,NO,Psicología
3063,100068980,1,1,NO,0,3,NO,Medicina Humana
3064,100068993,0,2,NO,0,8,NO,Medic Veterinaria y Zootecnia
3065,100069004,4,3,SI,0,5,NO,Medicina Humana
3066,100069013,0,0,NO,0,6,NO,Comunicación y Publicidad
3067,100069014,2,1,NO,0,3,NO,Medicina Humana
3068,100069023,2,2,NO,0,4,NO,Medicina Humana
3069,100069024,1,1,NO,1,2,SI,Medicina Humana
3070,100069030,1,0,NO,0,5,NO,Medicina Humana
3071,100069040,3,1,NO,0,7,NO,Arquitectura y Urb Ambiental
3072,100069042,0,1,NO,0,7,NO,Ing. de Sistemas Empresariales
3073,100069048,0,0,NO,0,5,NO,Derecho
3074,100069054,1,0,NO,0,6,NO,Ing. Económica y de Negocios
3075,100069059,2,0,NO,0,3,NO,Medicina Humana
3076,100069067,2,2,SI,1,4,NO,Medicina Humana
3077,100069085,1,1,NO,0,7,NO,Psicología
3078,100069096,1,1,NO,0,5,NO,Estomatología
3079,100069098,3,1,SI,0,8,NO,Comunicación y Publicidad
3080,100069101,1,1,NO,1,2,SI,Medicina Humana
3081,100069182,0,0,NO,0,3,NO,Medicina Humana
3082,100069184,3,3,NO,2,4,SI,Medicina Humana
3083,100069189,1,0,NO,0,2,NO,Estomatología
3084,100069191,1,0,NO,0,2,NO,Estomatología
3085,100069199,2,2,SI,0,7,NO,Medic Veterinaria y Zootecnia
3086,100069214,2,2,NO,1,6,NO,Estomatología
3087,100069222,0,0,NO,0,2,NO,Estomatología
3088,100069270,0,2,NO,0,4,NO,Medicina Humana
3089,100069283,1,0,NO,0,5,NO,Medicina Humana
3090,100069284,0,0,NO,0,4,NO,Medicina Humana
3091,100069302,3,3,NO,0,6,NO,Medicina Humana
3092,100069333,0,0,NO,0,5,NO,Medic Veterinaria y Zootecnia
3093,100069338,0,1,NO,0,6,NO,Derecho
3094,100069343,1,1,NO,1,3,NO,Medicina Humana
3095,100069346,1,2,NO,0,7,NO,Derecho
3096,100069351,3,2,NO,0,4,NO,Medic Veterinaria y Zootecnia
3097,100069353,0,0,NO,0,2,NO,Medicina Humana
3098,100069356,0,1,NO,0,5,NO,Estomatología
3099,100069357,0,0,NO,0,7,NO,Psicología
3100,100069359,4,1,NO,1,4,NO,Medicina Humana
3101,100069361,0,1,NO,0,7,NO,Psicología
3102,100069382,1,0,NO,0,7,NO,Adm. Negocios Internacionales
3103,100069387,6,7,SI,4,8,SI,Psicología
3104,100069392,1,0,SI,0,8,NO,Psicología
3105,100069393,1,1,NO,0,2,NO,Medicina Humana
3106,100069399,0,0,NO,0,6,NO,Obstetricia
3107,100069400,0,0,NO,0,4,NO,Estomatología
3108,100069404,0,1,NO,0,7,NO,Psicología
3109,100069407,3,2,NO,2,4,SI,Medicina Humana
