,IdAlumno,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,CantCursosDesaprobados,CantCursos,ExcedeMitadCursosDesaprobados,ProgramaAlu
0,100002894,0,0,NO,0,3,NO,Nutrición y Dietética
1,100003558,3,3,SI,3,4,SI,Medic Veterinaria y Zootecnia
2,100003932,1,0,NO,0,1,NO,Medicina Humana
3,100003946,2,3,SI,1,4,NO,Medic Veterinaria y Zootecnia
4,100003989,0,0,NO,0,5,NO,Psicología
5,100004062,4,3,NO,2,5,NO,Medic Veterinaria y Zootecnia
6,100004070,0,0,SI,0,7,NO,Ing. Económica y de Negocios
7,100004235,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
8,100004239,0,0,NO,0,5,NO,Medicina Humana
9,100005166,1,1,NO,0,1,NO,Medic Veterinaria y Zootecnia
10,100005182,0,0,NO,0,3,NO,Ing. de Sistemas Empresariales
11,100006719,0,0,NO,0,2,NO,Medicina Humana
12,100007381,0,0,NO,0,4,NO,Medicina Humana
13,100007741,2,1,NO,1,4,NO,Arquitectura y Urb Ambiental
14,100007911,1,1,NO,1,1,SI,Arquitectura y Urb Ambiental
15,100008630,0,0,NO,0,2,NO,Ing. Negocios Agroforestales
16,100009753,3,3,SI,3,3,SI,Arquitectura y Urb Ambiental
17,100009785,2,1,NO,2,2,SI,Arquitectura y Urb Ambiental
18,100010078,4,4,SI,3,5,SI,Medic Veterinaria y Zootecnia
19,100010081,1,2,SI,1,2,SI,Turismo Sostenible y Hotelería
20,100010186,0,0,NO,0,2,NO,Estomatología
21,100010212,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
22,100010293,0,0,NO,0,1,NO,Medic Veterinaria y Zootecnia
23,100010396,0,0,NO,0,3,NO,Ing. Negocios Agroforestales
24,100010899,1,2,NO,0,5,NO,Estomatología
25,100011191,3,3,SI,1,5,NO,Estomatología
26,100011253,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
27,100011445,1,2,NO,1,2,SI,Medicina Humana
28,100011542,2,2,NO,1,3,NO,Arquitectura y Urb Ambiental
29,100011563,3,3,SI,2,4,SI,Medic Veterinaria y Zootecnia
30,100011634,0,1,NO,0,5,NO,Medicina Humana
31,100011951,4,2,NO,2,5,NO,Medic Veterinaria y Zootecnia
32,100012232,0,0,NO,0,1,NO,Medicina Humana
33,100012481,1,0,NO,0,2,NO,Arquitectura y Urb Ambiental
34,100012563,0,0,NO,0,1,NO,Medicina Humana
35,100012567,1,0,NO,0,5,NO,Medicina Humana
36,100012691,2,1,NO,0,5,NO,Ingeniería y Gestión Ambiental
37,100012710,1,0,NO,1,1,SI,Medicina Humana
38,100012794,1,0,NO,0,2,NO,Estomatología
39,100012869,1,1,SI,0,2,NO,Medicina Humana
40,100012878,1,0,NO,0,2,NO,Ingeniería y Gestión Ambiental
41,100013014,0,0,NO,0,3,NO,Ing. Negocios Agroforestales
42,100013141,2,1,NO,1,4,NO,Medic Veterinaria y Zootecnia
43,100013267,3,3,SI,3,5,SI,Medicina Humana
44,100013775,2,2,NO,2,2,SI,Medic Veterinaria y Zootecnia
45,100014074,2,1,NO,0,6,NO,Ingeniería y Gestión Ambiental
46,100014094,0,1,NO,0,2,NO,Medic Veterinaria y Zootecnia
47,100014106,1,1,NO,1,1,SI,Biología Marina y Econegocio
48,100014115,1,0,NO,0,2,NO,Adm. Negocios Internacionales
49,100014152,2,2,NO,1,4,NO,Medic Veterinaria y Zootecnia
50,100014331,1,1,NO,1,2,SI,Medicina Humana
51,100014462,0,0,NO,0,5,NO,Medicina Humana
52,100014599,4,4,SI,4,6,SI,Turismo Sostenible y Hotelería
53,100014658,1,2,NO,1,3,NO,Medic Veterinaria y Zootecnia
54,100014670,0,0,NO,0,1,NO,Estomatología
55,100014672,1,0,NO,0,1,NO,Estomatología
56,100014698,2,1,NO,0,4,NO,Biología Marina y Econegocio
57,100014699,0,1,NO,0,6,NO,Medicina Humana
58,100014821,1,1,NO,0,2,NO,Medicina Humana
59,100014826,1,0,NO,0,6,NO,Adm. Negocios Internacionales
60,100014891,1,2,NO,2,2,SI,Medic Veterinaria y Zootecnia
61,100015184,0,0,NO,1,1,SI,Ingeniería y Gestión Ambiental
62,100015274,2,1,NO,0,3,NO,Medicina Humana
63,100015340,2,1,NO,1,2,SI,Medic Veterinaria y Zootecnia
64,100015344,0,0,NO,0,4,NO,Medicina Humana
65,100015358,1,0,NO,0,1,NO,Medicina Humana
66,100015389,2,3,NO,2,4,SI,Medicina Humana
67,100015416,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
68,100015457,1,3,NO,0,5,NO,Biología Marina y Econegocio
69,100015528,2,2,NO,0,4,NO,Biología Marina y Econegocio
70,100015608,2,0,SI,1,6,NO,Ingeniería y Gestión Ambiental
71,100015695,0,0,NO,0,6,NO,Ing. de Sistemas Empresariales
72,100015761,2,2,NO,0,5,NO,Nutrición y Dietética
73,100015954,2,1,NO,0,3,NO,Biología Marina y Econegocio
74,100016323,4,5,NO,3,5,SI,Medic Veterinaria y Zootecnia
75,100016426,0,0,NO,0,1,NO,Medic Veterinaria y Zootecnia
76,100016436,1,0,NO,0,1,NO,Medic Veterinaria y Zootecnia
77,100016502,3,2,NO,1,3,NO,Medic Veterinaria y Zootecnia
78,100016716,0,0,NO,0,1,NO,Medicina Humana
79,100017020,0,1,NO,0,1,NO,Medicina Humana
80,100017037,2,2,SI,2,4,SI,Estomatología
81,100017072,2,0,NO,0,5,NO,Enfermería
82,100017319,0,1,NO,0,2,NO,Medic Veterinaria y Zootecnia
83,100017399,0,0,NO,0,4,NO,Medic Veterinaria y Zootecnia
84,100017416,1,0,NO,0,2,NO,Medicina Humana
85,100017427,0,0,NO,0,2,NO,Medicina Humana
86,100017567,2,1,NO,1,2,SI,Medicina Humana
87,100017706,0,0,NO,0,1,NO,Comunicación y Publicidad
88,100017710,0,0,NO,0,5,NO,Medicina Humana
89,100017720,0,0,NO,0,1,NO,Medicina Humana
90,100017760,5,5,SI,5,5,SI,Medic Veterinaria y Zootecnia
91,100017808,0,0,NO,1,1,SI,Medicina Humana
92,100017886,0,1,NO,1,5,NO,Medicina Humana
93,100017897,0,0,NO,0,5,NO,Medicina Humana
94,100017913,2,1,NO,1,5,NO,Medicina Humana
95,100018623,1,2,SI,2,2,SI,Medicina Humana
96,100018938,4,3,NO,1,5,NO,Medic Veterinaria y Zootecnia
97,100019043,2,2,NO,0,4,NO,Medic Veterinaria y Zootecnia
98,100019174,0,1,NO,0,6,NO,Administracion de Empresas
99,100019204,1,0,NO,0,2,NO,Medicina Humana
100,100019238,0,1,NO,0,2,NO,Artes Escénicas y Literatura
101,100019342,2,1,NO,0,3,NO,Medicina Humana
102,100019413,2,2,SI,1,6,NO,Ingeniería Ambiental
103,100019601,1,0,NO,0,3,NO,Biología Marina y Econegocio
104,100019635,3,2,NO,0,3,NO,Medic Veterinaria y Zootecnia
105,100019704,2,1,NO,0,4,NO,Medicina Humana
106,100019707,2,2,NO,0,5,NO,Medicina Humana
107,100019709,0,2,NO,0,6,NO,Medicina Humana
108,100019786,0,3,NO,0,7,NO,Medicina Humana
109,100019908,1,1,NO,0,2,NO,Biología Marina y Econegocio
110,100020034,2,2,SI,2,3,SI,Medicina Humana
111,100020124,2,0,NO,0,4,NO,Medicina Humana
112,100020148,1,0,NO,0,3,NO,Medicina Humana
113,100020187,0,0,NO,0,1,NO,Psicología
114,100020193,5,2,NO,1,5,NO,Biología Marina
115,100020254,0,1,SI,1,7,NO,Ingeniería Ambiental
116,100020272,0,0,NO,0,1,NO,Nutrición y Dietética
117,100020372,1,1,NO,0,1,NO,Medicina Humana
118,100020609,1,0,NO,0,2,NO,Medicina Humana
119,100020703,2,2,NO,0,7,NO,Medicina Humana
120,100020814,0,0,NO,0,4,NO,Artes Escénicas y Literatura
121,100020950,1,2,NO,0,6,NO,Medicina Humana
122,100020968,2,1,SI,2,4,SI,Medicina Humana
123,100021091,2,2,SI,2,3,SI,Medicina Humana
124,100021145,0,0,NO,0,6,NO,Medicina Humana
125,100021177,1,1,NO,0,3,NO,Medic Veterinaria y Zootecnia
126,100021219,1,3,NO,0,6,NO,Medicina Humana
127,100021242,1,1,NO,1,2,SI,Estomatología
128,100021279,5,4,SI,2,6,NO,Biología Marina y Econegocio
129,100021604,3,1,SI,1,5,NO,Estomatología
130,100021711,0,0,NO,0,4,NO,Medic Veterinaria y Zootecnia
131,100021724,2,2,NO,0,5,NO,Medicina Humana
132,100021732,3,4,SI,2,4,SI,Medicina Humana
133,100021739,0,0,NO,0,1,NO,Estomatología
134,100021786,0,0,NO,0,5,NO,Medicina Humana
135,100021887,2,2,SI,2,2,SI,Medicina Humana
136,100022237,1,1,NO,0,4,NO,Ingeniería y Gestión Ambiental
137,100022253,2,2,NO,0,5,NO,Medic Veterinaria y Zootecnia
138,100022272,0,0,NO,0,1,NO,Enfermería
139,100022284,2,3,NO,1,3,NO,Medic Veterinaria y Zootecnia
140,100022297,1,1,NO,1,3,NO,Medicina Humana
141,100022302,1,1,NO,0,2,NO,Medic Veterinaria y Zootecnia
142,100022386,0,1,NO,0,6,NO,Obstetricia
143,100022413,2,3,SI,2,3,SI,Medic Veterinaria y Zootecnia
144,100022525,0,0,NO,0,5,NO,Medic Veterinaria y Zootecnia
145,100022547,3,5,NO,1,6,NO,Medic Veterinaria y Zootecnia
146,100022595,1,1,NO,1,2,SI,Nutrición y Dietética
147,100022817,1,2,NO,0,4,NO,Medicina Humana
148,100022889,1,1,NO,1,2,SI,Medicina Humana
149,100022940,0,0,NO,0,1,NO,Comunicación y Publicidad
150,100022961,0,0,NO,0,3,NO,Ing. de Sistemas Empresariales
151,100022972,1,1,NO,0,3,NO,Medic Veterinaria y Zootecnia
152,100022980,4,4,SI,3,5,SI,Medic Veterinaria y Zootecnia
153,100022981,2,2,NO,0,5,NO,Biología Marina y Econegocio
154,100022998,3,1,NO,1,3,NO,Medicina Humana
155,100023003,0,0,NO,0,2,NO,Medicina Humana
156,100023088,0,0,NO,0,3,NO,Medicina Humana
157,100023185,3,2,NO,0,3,NO,Medic Veterinaria y Zootecnia
158,100023190,0,1,NO,1,3,NO,Medicina Humana
159,100023220,4,2,NO,2,4,SI,Medic Veterinaria y Zootecnia
160,100023238,0,0,NO,0,5,NO,Medicina Humana
161,100023239,1,1,NO,1,2,SI,Nutrición y Dietética
162,100023246,2,2,NO,1,4,NO,Medic Veterinaria y Zootecnia
163,100023335,3,2,NO,2,3,SI,Medic Veterinaria y Zootecnia
164,100023349,1,2,NO,0,4,NO,Medicina Humana
165,100023432,0,2,NO,0,4,NO,Ingeniería Agroforestal
166,100023499,2,1,NO,1,2,SI,Medicina Humana
167,100023503,1,0,NO,0,3,NO,Medicina Humana
168,100023521,2,2,NO,2,4,SI,Medic Veterinaria y Zootecnia
169,100023641,1,2,NO,1,2,SI,Medicina Humana
170,100023658,0,1,NO,0,6,NO,Medicina Humana
171,100023756,0,0,NO,0,6,NO,Psicología
172,100023812,1,0,SI,1,3,NO,Ing. Negocios Agroforestales
173,100023815,2,1,NO,0,2,NO,Medic Veterinaria y Zootecnia
174,100023834,0,0,NO,0,6,NO,Medicina Humana
175,100023900,0,0,NO,0,3,NO,Medicina Humana
176,100024000,0,0,NO,0,4,NO,Derecho
177,100024002,1,1,NO,1,1,SI,Turismo Sostenible y Hotelería
178,100024052,0,1,NO,0,5,NO,Medicina Humana
179,100024123,0,0,NO,0,2,NO,Psicología
180,100024145,1,1,NO,1,2,SI,Marketing y Administración
181,100024171,0,2,NO,0,6,NO,Turismo Sostenible y Hotelería
182,100024178,1,0,NO,0,1,NO,Estomatología
183,100024233,3,2,NO,0,6,NO,Ing. Económica y de Negocios
184,100024442,1,2,NO,0,5,NO,Ingeniería y Gestión Ambiental
185,100024525,3,2,NO,0,3,NO,Medicina Humana
186,100024539,3,4,SI,3,5,SI,Medic Veterinaria y Zootecnia
187,100024554,1,1,NO,0,6,NO,Biología Marina y Econegocio
188,100024557,0,0,NO,0,7,NO,Ing. Económica y de Negocios
189,100024623,1,0,NO,0,6,NO,Marketing y Administración
190,100024715,1,0,NO,0,2,NO,Medicina Humana
191,100024725,1,0,NO,0,5,NO,Medicina Humana
192,100025426,0,0,NO,0,1,NO,Estomatología
193,100025458,2,1,NO,1,4,NO,Medic Veterinaria y Zootecnia
194,100025572,0,0,NO,1,2,SI,Medicina Humana
195,100025637,2,4,NO,0,5,NO,Medicina Humana
196,100025655,0,0,NO,0,6,NO,Medicina Humana
197,100025749,1,0,NO,1,1,SI,Medic Veterinaria y Zootecnia
198,100025815,2,0,NO,0,5,NO,Estomatología
199,100025904,1,2,NO,0,3,NO,Medicina Humana
200,100025967,0,0,NO,0,1,NO,Marketing y Administración
201,100026252,4,2,NO,1,4,NO,Medic Veterinaria y Zootecnia
202,100026342,0,0,NO,0,3,NO,Ingeniería y Gestión Ambiental
203,100026538,1,2,NO,0,6,NO,Medic Veterinaria y Zootecnia
204,100026707,3,2,NO,0,6,NO,Ingeniería y Gestión Ambiental
205,100026766,1,2,NO,0,3,NO,Ingeniería y Gestión Ambiental
206,100026789,1,0,NO,0,6,NO,Ing. Negocios Agroforestales
207,100026830,5,2,SI,0,5,NO,Medicina Humana
208,100026835,1,1,NO,0,6,NO,Ing. Económica y de Negocios
209,100026914,3,3,SI,2,6,NO,Medic Veterinaria y Zootecnia
210,100026963,3,1,SI,2,4,SI,Medicina Humana
211,100026970,1,1,NO,1,4,NO,Arquitectura y Urb Ambiental
212,100026975,0,0,NO,0,5,NO,Medicina Humana
213,100026996,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
214,100027031,4,2,SI,2,6,NO,Nutrición y Dietética
215,100027036,2,1,SI,0,4,NO,Medicina Humana
216,100027053,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
217,100027083,2,2,NO,1,4,NO,Medicina Humana
218,100027091,1,0,NO,0,2,NO,Marketing y Administración
219,100027140,0,1,NO,0,4,NO,Medicina Humana
220,100027186,1,0,NO,0,7,NO,Psicología
221,100027191,0,1,NO,0,4,NO,Medic Veterinaria y Zootecnia
222,100027231,1,1,NO,0,4,NO,Enfermería
223,100027245,3,1,NO,1,3,NO,Medicina Humana
224,100027277,0,1,NO,0,5,NO,Medicina Humana
225,100027284,1,1,NO,1,3,NO,Medicina Humana
226,100027323,1,2,NO,0,4,NO,Psicología
227,100027442,1,0,NO,0,4,NO,Ingeniería y Gestión Ambiental
228,100027486,0,0,NO,0,3,NO,Artes Escénicas
229,100027509,1,1,NO,0,6,NO,Medicina Humana
230,100027594,0,1,NO,0,6,NO,Medicina Humana
231,100027633,0,0,NO,0,5,NO,Medicina Humana
232,100027642,0,0,NO,0,3,NO,Ing. Negocios Agroforestales
233,100027655,1,1,NO,0,2,NO,Medicina Humana
234,100027669,0,2,NO,0,4,NO,Enfermería
235,100027678,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
236,100027750,1,1,NO,1,1,SI,Arquitectura y Urb Ambiental
237,100027756,6,6,SI,6,6,SI,Medicina Humana
238,100027929,0,0,NO,0,5,NO,Medicina Humana
239,100027943,0,0,NO,0,1,NO,Medic Veterinaria y Zootecnia
240,100027962,2,2,SI,2,6,NO,Arquitectura y Urb Ambiental
241,100027998,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
242,100028040,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
243,100028047,1,1,NO,0,3,NO,Medicina Humana
244,100028066,1,0,NO,0,5,NO,Estomatología
245,100028124,1,1,NO,1,6,NO,Psicología
246,100028127,0,1,SI,1,1,SI,Psicología
247,100028133,2,1,NO,1,2,SI,Medicina Humana
248,100028167,1,1,NO,1,2,SI,Medicina Humana
249,100028294,0,1,NO,0,7,NO,Medicina Humana
250,100028295,1,2,SI,0,4,NO,Ingeniería Acuícola
251,100028324,0,0,NO,0,3,NO,Psicología
252,100028326,3,2,NO,0,5,NO,Nutrición y Dietética
253,100028351,2,2,NO,0,4,NO,Adm. Negocios Internacionales
254,100028359,3,3,NO,1,4,NO,Medic Veterinaria y Zootecnia
255,100028380,3,3,NO,2,3,SI,Medic Veterinaria y Zootecnia
256,100028386,1,0,NO,0,3,NO,Medicina Humana
257,100028414,0,0,NO,0,5,NO,Medicina Humana
258,100028416,2,1,NO,0,3,NO,Medicina Humana
259,100028473,5,4,SI,4,5,SI,Medic Veterinaria y Zootecnia
260,100028476,0,0,NO,0,3,NO,Estomatología
261,100028498,1,3,NO,0,6,NO,Medic Veterinaria y Zootecnia
262,100028515,2,1,NO,0,6,NO,Comunicación y Publicidad
263,100028531,2,0,NO,0,3,NO,Medicina Humana
264,100028558,3,1,NO,2,3,SI,Medic Veterinaria y Zootecnia
265,100028621,1,3,NO,0,6,NO,Biología Marina y Econegocio
266,100028626,1,1,NO,0,5,NO,Medicina Humana
267,100028667,3,2,SI,1,4,NO,Arquitectura y Urb Ambiental
268,100028695,0,1,NO,1,3,NO,Medic Veterinaria y Zootecnia
269,100028698,2,0,NO,1,4,NO,Medic Veterinaria y Zootecnia
270,100028706,2,1,NO,2,2,SI,Medicina Humana
271,100028753,1,1,NO,0,5,NO,Medic Veterinaria y Zootecnia
272,100028765,3,1,NO,2,3,SI,Medicina Humana
273,100028809,0,0,NO,0,6,NO,Medicina Humana
274,100028810,4,2,SI,0,6,NO,Ingeniería y Gestión Ambiental
275,100028956,1,2,NO,0,4,NO,Ingeniería y Gestión Ambiental
276,100028961,3,1,NO,0,4,NO,Estomatología
277,100028974,1,1,NO,0,3,NO,Medicina Humana
278,100028983,0,0,NO,0,3,NO,Medic Veterinaria y Zootecnia
279,100029028,0,1,NO,0,1,NO,Medicina Humana
280,100029102,1,1,NO,0,3,NO,Ingeniería Ambiental
281,100029135,1,1,NO,0,4,NO,Medicina Humana
282,100029170,2,1,NO,0,6,NO,Medic Veterinaria y Zootecnia
283,100029218,0,1,NO,0,5,NO,Arquitectura y Urb Ambiental
284,100029230,1,2,NO,1,5,NO,Medic Veterinaria y Zootecnia
285,100029232,1,0,NO,0,1,NO,Biología Marina y Econegocio
286,100029233,0,0,NO,0,2,NO,Arquitectura y Urb Ambiental
287,100029240,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
288,100029329,2,0,NO,0,2,NO,Medicina Humana
289,100029365,2,1,NO,0,3,NO,Medicina Humana
290,100029366,1,2,NO,0,5,NO,Biología Marina y Econegocio
291,100029370,2,2,NO,1,3,NO,Medicina Humana
292,100029377,0,0,NO,0,4,NO,Medicina Humana
293,100029397,2,1,NO,1,3,NO,Medicina Humana
294,100029413,1,1,NO,1,3,NO,Medicina Humana
295,100029452,1,1,NO,0,7,NO,Biología Marina y Econegocio
296,100029457,1,1,NO,0,5,NO,Medicina Humana
297,100029501,3,4,NO,2,6,NO,Medic Veterinaria y Zootecnia
298,100029506,2,1,NO,0,6,NO,Ing. Económica y de Negocios
299,100029509,1,2,NO,0,3,NO,Medicina Humana
300,100029510,1,1,NO,0,2,NO,Ing. Económica y de Negocios
301,100029546,2,0,NO,0,3,NO,Medic Veterinaria y Zootecnia
302,100029579,0,0,NO,0,4,NO,Medicina Humana
303,100029587,0,1,SI,2,6,NO,Medicina Humana
304,100029593,0,0,NO,0,7,NO,Medicina Humana
305,100029607,1,0,NO,0,3,NO,Medicina Humana
306,100029615,1,1,NO,0,3,NO,Estomatología
307,100029635,1,1,NO,0,3,NO,Adm. Negocios Internacionales
308,100029683,2,2,NO,2,3,SI,Medicina Humana
309,100029688,1,1,NO,0,6,NO,Medicina Humana
310,100029692,4,2,NO,2,7,NO,Medic Veterinaria y Zootecnia
311,100029740,1,2,SI,1,4,NO,Medicina Humana
312,100029759,1,0,NO,1,2,SI,Arquitectura y Urb Ambiental
313,100029841,2,2,NO,0,6,NO,Comunicación y Publicidad
314,100029935,1,0,NO,0,3,NO,Ingeniería y Gestión Ambiental
315,100029949,3,3,SI,1,5,NO,Medicina Humana
316,100030090,1,1,NO,1,1,SI,Medicina Humana
317,100030104,1,0,NO,0,2,NO,Medicina Humana
318,100030124,0,0,NO,0,1,NO,Estomatología
319,100030131,0,0,NO,0,1,NO,Medicina Humana
320,100030145,1,3,NO,1,3,NO,Medic Veterinaria y Zootecnia
321,100030148,0,2,NO,0,5,NO,Ing. Negocios Agroforestales
322,100030165,2,1,NO,0,4,NO,Medic Veterinaria y Zootecnia
323,100030176,0,0,NO,0,2,NO,Administracion de Empresas
324,100030181,4,4,SI,2,5,NO,Ing. Económica y de Negocios
325,100030183,1,2,NO,2,3,SI,Medicina Humana
326,100030196,1,0,SI,1,3,NO,Medicina Humana
327,100030214,2,1,NO,1,4,NO,Ingeniería y Gestión Ambiental
328,100030225,1,1,NO,0,6,NO,Biología Marina
329,100030231,2,3,NO,1,5,NO,Medic Veterinaria y Zootecnia
330,100030276,1,1,NO,0,6,NO,Ingeniería y Gestión Ambiental
331,100030286,0,1,NO,0,4,NO,Estomatología
332,100030294,2,2,NO,0,3,NO,Medic Veterinaria y Zootecnia
333,100030297,5,4,SI,0,6,NO,Medic Veterinaria y Zootecnia
334,100030299,1,2,NO,0,5,NO,Medicina Humana
335,100030305,1,3,NO,0,4,NO,Medic Veterinaria y Zootecnia
336,100030345,2,3,NO,0,5,NO,Medic Veterinaria y Zootecnia
337,100030364,3,2,NO,1,4,NO,Medic Veterinaria y Zootecnia
338,100030405,0,2,NO,0,5,NO,Medicina Humana
339,100030421,4,2,NO,0,5,NO,Medic Veterinaria y Zootecnia
340,100030429,3,1,SI,0,5,NO,Biología Marina
341,100030462,1,1,NO,1,2,SI,Medic Veterinaria y Zootecnia
342,100030495,1,2,NO,0,3,NO,Medic Veterinaria y Zootecnia
343,100030498,4,1,SI,0,5,NO,Medic Veterinaria y Zootecnia
344,100030526,0,1,NO,0,5,NO,Turismo Sostenible y Hotelería
345,100030533,2,1,NO,1,2,SI,Ing. Económica y de Negocios
346,100030557,0,0,NO,0,1,NO,Medicina Humana
347,100030558,1,0,SI,0,3,NO,Medicina Humana
348,100030619,0,1,NO,0,5,NO,Medicina Humana
349,100030682,0,0,NO,0,4,NO,Medicina Humana
350,100030720,3,2,NO,0,5,NO,Medic Veterinaria y Zootecnia
351,100030745,1,0,NO,0,1,NO,Estomatología
352,100030769,1,0,NO,0,5,NO,Estomatología
353,100030775,1,1,NO,0,3,NO,Medic Veterinaria y Zootecnia
354,100030782,2,1,NO,1,4,NO,Ingeniería y Gestión Ambiental
355,100030791,2,4,SI,1,4,NO,Medic Veterinaria y Zootecnia
356,100030803,3,1,SI,1,4,NO,Arquitectura y Urb Ambiental
357,100030823,1,0,NO,0,3,NO,Enfermería
358,100030843,1,0,NO,0,8,NO,Medicina Humana
359,100030855,0,0,NO,0,5,NO,Ing. Negocios Agroforestales
360,100030869,1,1,NO,0,4,NO,Ingeniería y Gestión Ambiental
361,100031006,1,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
362,100031110,1,0,NO,0,1,NO,Medicina Humana
363,100031112,0,1,NO,0,4,NO,Medicina Humana
364,100031132,0,0,NO,0,4,NO,Medicina Humana
365,100031133,3,3,NO,3,3,SI,Medic Veterinaria y Zootecnia
366,100031135,2,3,NO,1,3,NO,Arquitectura y Urb Ambiental
367,100031200,4,4,SI,0,7,NO,Medicina Humana
368,100031213,1,0,NO,0,1,NO,Estomatología
369,100031235,1,0,NO,0,3,NO,Estomatología
370,100031294,0,3,NO,0,7,NO,Adm. Negocios Internacionales
371,100031314,1,3,NO,0,6,NO,Medic Veterinaria y Zootecnia
372,100031335,2,2,NO,0,3,NO,Medicina Humana
373,100031346,0,0,NO,0,7,NO,Artes Escénicas
374,100031362,3,2,SI,2,4,SI,Nutrición y Dietética
375,100031375,1,0,NO,1,1,SI,Arquitectura y Urb Ambiental
376,100031380,0,1,NO,0,2,NO,Medicina Humana
377,100031401,0,0,NO,0,6,NO,Medicina Humana
378,100031503,1,1,NO,1,1,SI,Ing. de Sistemas Empresariales
379,100031525,0,0,NO,0,1,NO,Estomatología
380,100031543,0,0,NO,0,2,NO,Ing. de Sistemas Empresariales
381,100031637,1,0,NO,1,1,SI,Medic Veterinaria y Zootecnia
382,100031652,1,1,NO,1,2,SI,Medicina Humana
383,100031680,1,2,NO,0,7,NO,Comunicación y Publicidad
384,100031702,0,0,NO,0,4,NO,Artes Escénicas
385,100031771,1,0,NO,0,5,NO,Medicina Humana
386,100031823,0,0,NO,0,5,NO,Medicina Humana
387,100031855,0,0,NO,0,6,NO,Medicina Humana
388,100031869,0,0,NO,0,4,NO,Adm. Negocios Internacionales
389,100031949,0,2,SI,1,6,NO,Medic Veterinaria y Zootecnia
390,100031956,1,1,NO,1,4,NO,Medic Veterinaria y Zootecnia
391,100031964,3,2,SI,2,5,NO,Medicina Humana
392,100031969,0,1,NO,0,5,NO,Medicina Humana
393,100031975,1,0,NO,0,2,NO,Medicina Humana
394,100031976,4,3,SI,0,5,NO,Medicina Humana
395,100032008,0,1,NO,0,3,NO,Biología Marina y Econegocio
396,100032057,1,2,NO,2,2,SI,Medic Veterinaria y Zootecnia
397,100032143,2,1,NO,1,4,NO,Estomatología
398,100032154,1,1,NO,0,4,NO,Medicina Humana
399,100032182,1,1,NO,0,2,NO,Ingeniería y Gestión Ambiental
400,100032211,2,2,SI,2,7,NO,Nutrición y Dietética
401,100032226,0,0,NO,0,4,NO,Turismo Sostenible y Hotelería
402,100032269,0,1,NO,0,5,NO,Medic Veterinaria y Zootecnia
403,100032291,3,3,SI,3,3,SI,Biología Marina y Econegocio
404,100032320,0,2,NO,0,6,NO,Farmacia y Bioquímica
405,100032323,0,0,NO,0,4,NO,Medicina Humana
406,100032338,0,2,NO,0,6,NO,Medicina Humana
407,100032344,2,3,SI,0,4,NO,Medic Veterinaria y Zootecnia
408,100032389,0,1,NO,0,6,NO,Medicina Humana
409,100032419,0,0,NO,0,1,NO,Medic Veterinaria y Zootecnia
410,100032422,0,0,NO,0,5,NO,Medicina Humana
411,100032424,0,0,NO,0,1,NO,Nutrición y Dietética
412,100032429,5,4,NO,0,5,NO,Ingeniería y Gestión Ambiental
413,100032466,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
414,100032477,0,1,NO,0,4,NO,Medicina Humana
415,100032481,1,1,NO,0,1,NO,Medic Veterinaria y Zootecnia
416,100032486,4,5,SI,4,6,SI,Medic Veterinaria y Zootecnia
417,100032506,0,0,NO,0,1,NO,Nutrición y Dietética
418,100032515,2,2,NO,0,3,NO,Medicina Humana
419,100032524,1,1,NO,0,3,NO,Medicina Humana
420,100032531,0,1,NO,0,5,NO,Medicina Humana
421,100032543,0,0,NO,0,5,NO,Medicina Humana
422,100032588,2,1,NO,0,2,NO,Medicina Humana
423,100032593,1,0,NO,0,1,NO,Medicina Humana
424,100032650,0,0,NO,0,3,NO,Biología Marina y Econegocio
425,100032662,1,1,NO,0,4,NO,Comunicación y Publicidad
426,100032688,0,0,NO,0,3,NO,Medic Veterinaria y Zootecnia
427,100032702,3,1,NO,0,4,NO,Estomatología
428,100032703,0,0,NO,0,3,NO,Artes Escénicas
429,100032711,0,0,NO,0,2,NO,Marketing y Administración
430,100032718,1,0,NO,0,4,NO,Enfermería
431,100032759,0,0,NO,0,1,NO,Comunicación y Publicidad
432,100032772,2,2,NO,0,3,NO,Medicina Humana
433,100032783,0,0,NO,0,5,NO,Medicina Humana
434,100032787,0,1,NO,1,2,SI,Biología Marina y Econegocio
435,100032790,0,0,NO,0,2,NO,Medic Veterinaria y Zootecnia
436,100032816,4,3,SI,0,7,NO,Medic Veterinaria y Zootecnia
437,100032817,1,3,NO,0,5,NO,Medic Veterinaria y Zootecnia
438,100032823,2,3,NO,0,5,NO,Medic Veterinaria y Zootecnia
