IdAlumno,Prediccion,Prediccion_Probabilidad,Edad,Genero,Distrito,Provincia,Departamento,FamiliarResponsable,CantParcialesDesaprobados,CantFinalesDesaprobados,ExcedeNotasDesaprobadasNoParcNoFin,ExcedeMitadCursosDesaprobados,GrupoEdad,ExcedePagosAtrasados,TipoColegio,Desercion
100140056,0,0.28562496792307474,27.0,F,CALLAO,PROV. CONST. DEL CALLAO,CALLAO,Alumno,6,6,SI,SI,Mayor25,0.0,PRIV,0
100140065,0,0.21548795748293437,23.0,M,LURIGANCHO,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PUBL,1
100140079,1,0.9797647437150345,19.0,M,CHORRILLOS,LIMA ,LIMA,Alumno,5,6,SI,SI,Entre18y25,0.0,PUBL,1
100140103,0,0.1560591938622148,18.0,F,LOS OLIVOS,LIMA ,LIMA,Apoderado,0,1,NO,NO,MenosDe18,0.0,PUBL,0
100140164,0,0.2179516253757068,19.0,F,CHORRILLOS,LIMA ,LIMA,Alumno,3,1,NO,NO,Entre18y25,0.0,PRIV,0
100140180,0,0.21258099860702664,17.0,M,COMAS,LIMA ,LIMA,Padre,1,0,NO,NO,MenosDe18,1.0,PRIV,0
100140183,0,0.209631180662748,26.0,F,AUCALLAMA,HUARAL ,LIMA,Alumno,1,1,NO,NO,Mayor25,0.0,PRIV,0
100140202,0,0.18144470858373582,23.0,M,COMAS,LIMA ,LIMA,Alumno,0,0,NO,NO,Entre18y25,0.0,PRIV,0
100140205,0,0.22232596680917985,17.0,F,COMAS,LIMA ,LIMA,Madre,3,1,SI,NO,MenosDe18,0.0,PRIV,0
100140212,1,0.880405496382486,17.0,F,COMAS,LIMA ,LIMA,Padre,3,6,SI,NO,MenosDe18,0.0,PRIV,1
100140227,0,0.3422325100074529,22.0,F,VILLA EL SALVADOR,LIMA ,LIMA,Alumno,3,1,SI,NO,Entre18y25,0.0,PRIV,0
100140229,0,0.1884589490428265,20.0,F,SAN MARTÍN DE PORRES,LIMA ,LIMA,Alumno,3,1,NO,NO,Entre18y25,0.0,PRIV,0
100140232,1,0.6096902073828417,35.0,F,ATE,LIMA ,LIMA,Alumno,2,2,SI,NO,Mayor25,0.0,PRIV,1
100140239,0,0.14866590948186983,19.0,F,ATE,LIMA ,LIMA,Alumno,2,0,NO,NO,Entre18y25,0.0,PRIV,0
